,CY_RG5,CY_RG6,CY_RG7,CY_RG8,CY_RG9,LRE_RG1,LRE_RG2,LRE_RG3,LRE_RG4,LRE_RG5
TRINITY_DN15051_c0_g1,325,277,199,456,237,344,298,407,293,323
TRINITY_DN19732_c0_g1,60,53,34,48,35,70,94,68,13,59
TRINITY_DN23143_c0_g2,149,159,97,112,87,177,135,37,178,102
TRINITY_DN16838_c0_g1,84,108,64,195,12,104,96,81,152,93
TRINITY_DN23599_c1_g8,5523.42,5837,2745,5983.28,2406,6678.81,6205.32,855,5485,4445
TRINITY_DN21452_c3_g1,21,34,19,22,23,26,13,15,16,24
TRINITY_DN19139_c1_g2,144,180,97,191,101,153,137,104,268,118
TRINITY_DN19570_c0_g2,39,68,53,55,41,64,84,23,106,37
TRINITY_DN23324_c0_g2,668.02,933.01,330.18,500.98,257.68,784.63,770.44,983.28,2293.98,556.07
TRINITY_DN15977_c0_g1,125,266,99,178,73,141,154,148,399,93
TRINITY_DN16726_c0_g1,54,182,91,66,31,66,136,57,154,72
TRINITY_DN18777_c0_g1,50,60,81,67,66,65,100,278,65,67
TRINITY_DN22508_c0_g26,46,33,40,98,30,56,59,10,39,44
TRINITY_DN23233_c8_g1,45.65,46,19,38,17,50,18.1,70.68,27,29.29
TRINITY_DN9420_c1_g1,83,124,58,67,32,118,118,12,118,88
TRINITY_DN18573_c0_g1,27,31,31,31,22,47,41,73,31,28
TRINITY_DN17419_c0_g1,37,35,31,47,20,31,25,36,44,28
TRINITY_DN19541_c0_g1,31,50,20,16,10,42,19,30,41,23
TRINITY_DN23775_c9_g48,118,237,119,123,57,163,219,753,289,118
TRINITY_DN23376_c3_g2,1933,3030,19342,1243,1079.56,2232,907,772,1785,1190
TRINITY_DN23766_c13_g10,85,11,73,67,54,103,109,43,32,66
TRINITY_DN20615_c2_g2,116,111.78,125,177,112,174,130,25,86,151
TRINITY_DN22667_c0_g1,131,130,94,189,90,118,190,268,203,118
TRINITY_DN22921_c1_g5,1041,1221,718,953,476,1120,959,500,2214,587
TRINITY_DN14466_c0_g1,19,18,34,24,12,26,48,165,57,44
TRINITY_DN19944_c0_g2,18,26,38,28,13,20,32,31,37,39
TRINITY_DN23321_c5_g3,157,166,141,94,33,190,33,21,42,101
TRINITY_DN12461_c0_g1,392,169,171,330,147,473,251,239,219,213
TRINITY_DN15852_c0_g1,36,44,34,49,31,27,31,17,58,50
TRINITY_DN23403_c2_g17,192.2,719.11,324,39.9,82.11,284.64,419.8,286.79,949.78,54.57
TRINITY_DN11108_c0_g1,192,203,159,225,139,197,175,172,300,164
TRINITY_DN15886_c0_g1,55,52,39.13,48,25,76,33,11,11,59
TRINITY_DN5930_c0_g1,110,140,133,196,192,177,244,397,250,97
TRINITY_DN19975_c0_g1,99.64,158,140.15,160.28,91.31,123.7,190.18,302.62,262,118.58
TRINITY_DN23437_c2_g1,112,53,74,80,19,119,125,95,103,64
TRINITY_DN18984_c0_g1,156.55,249.98,304.78,386.31,125,196.42,123.57,129,407.05,238
TRINITY_DN19859_c0_g1,82,97,63,54,77,112,103,44,63,65
TRINITY_DN18388_c0_g1,17,20,23,18,15,21,16,15,24,22
TRINITY_DN11268_c0_g2,153,178,120,163,176,189,167,23,143,89
TRINITY_DN21331_c0_g3,224,233,84,138,135,226,137,15,117,132
TRINITY_DN20334_c5_g3,65,60,63,108,48,86,101,842,83,69
TRINITY_DN13683_c0_g2,221,305.64,226.53,396.37,188,233.86,327,433,513.15,256.74
TRINITY_DN19062_c0_g1,227,347,272,270,125,259,216,53,341,140
TRINITY_DN17410_c0_g1,30,39,12,24,10,41,13,20,27,25
TRINITY_DN23118_c2_g4,348,217,127,270,113,382,200,117,78,214
TRINITY_DN20798_c1_g3,251,300,204,323,211,333,489,413,424,293
TRINITY_DN20361_c0_g1,77,121,79,83,47,114,107,112,117,74
TRINITY_DN19796_c0_g1,167,221,179,138,78,175,171,411,187,121
TRINITY_DN23229_c2_g3,1695.98,1412.99,1507.97,1623.95,832.99,1829.98,1798.99,641,2753.97,1049.98
TRINITY_DN17651_c0_g1,70,144,92,136,75,92,83,336,126,85
TRINITY_DN18619_c0_g1,150,138,72,95,139,125,77,136,225,125
TRINITY_DN9750_c0_g1,11.44,23.87,13,9.75,13.91,18.33,34.86,30,33.75,13.61
TRINITY_DN18406_c1_g1,682,1016,458,861,507,703,620,415,270,497
TRINITY_DN13881_c0_g1,333,587,203,288,148,389,239,109,452,246
TRINITY_DN19336_c0_g12,129,127,136,199,126,194,231,203,239,86
TRINITY_DN15889_c0_g2,20,31,36,42,25,31,59,147,60,37
TRINITY_DN22738_c1_g5,23,48,26,33,17,25,38,20,30,21
TRINITY_DN17093_c0_g1,161,220,183,83,62,170,54,57,292,60
TRINITY_DN14262_c1_g1,23,14,37,48,24,43,36,257,30,29
TRINITY_DN22973_c0_g1,450,513,370,481,400,527,387,416,364,387
TRINITY_DN3906_c0_g1,65,25,18,20,28,63,95,92,82,22
TRINITY_DN18719_c0_g1,45,34,21,15,24,62,33,12,48,32
TRINITY_DN21001_c3_g1,193,259,134,217,108,222,117,118,200,201
TRINITY_DN23179_c2_g11,39,20,21,23,19,59,52,227,93,31
TRINITY_DN23249_c6_g17,65,47,43,24,14,79,43.57,61,75.3,33
TRINITY_DN15421_c0_g1,59,83,71,87,47,64,107,136,135,54
TRINITY_DN19661_c0_g1,47,51,38,51,16,49,57,51,77,37
TRINITY_DN18164_c0_g1,118,136,87,118,81,139,72,19,137,103
TRINITY_DN21349_c1_g3,88,104,64,88,76,111,143,127,129,62
TRINITY_DN14529_c0_g1,69,62,77,60,70,67,121,311,156,46
TRINITY_DN20989_c2_g2,67,71,29,57,24,83,60,104,84,34
TRINITY_DN18877_c0_g2,84,96,73,82,53,100,47,51,88,58
TRINITY_DN14946_c0_g2,358,325,300,421,279,399,242,328,391,183
TRINITY_DN15453_c0_g1,111,103,141,149,80,148,112,172,111,136
TRINITY_DN17193_c1_g5,89.28,225.14,92.85,181,59,131.26,76.57,17.31,189.52,119.71
TRINITY_DN22277_c6_g1,61,38,44,54,35,91,84,395,176,57
TRINITY_DN21814_c1_g2,38,51,28,19,15,32,57,19,33,23
TRINITY_DN16529_c0_g1,7988,11296,5230,15331,3567,9164,15004,13000,22182,14432
TRINITY_DN22170_c2_g4,226.98,382.88,206.54,247.1,191.09,251.85,108.18,30.75,267.01,194.99
TRINITY_DN15962_c0_g2,133,92,166,197,95,170,192,135,188,130
TRINITY_DN11394_c0_g1,36,57,29,39,22,48,46,323,37,18
TRINITY_DN21400_c2_g2,52,71,56,40,26,68,53,189,68,46
TRINITY_DN21633_c2_g1,616,23,173,538,323,775,421,277,32,172
TRINITY_DN22714_c0_g4,167,275,136,181,85,174,36,34,171,184
TRINITY_DN21270_c0_g1,47,74,39,36,27,72,27,13,22,47
TRINITY_DN17128_c0_g1,71,84,58,64,40,90,107,60,220,51
TRINITY_DN19171_c0_g1,37,57,44,55,19,59,95,79,99,44
TRINITY_DN13118_c0_g1,254,331,322,333,246,337,382,483,403,190
TRINITY_DN18380_c0_g1,378,359.66,252,236,187,436.83,107,35,345.6,207.85
TRINITY_DN18395_c0_g2,121,211,101.16,86.13,82.36,127,69,71.59,164,55.74
TRINITY_DN20448_c0_g1,47,52,34,41,35,55,21,37,39,42
TRINITY_DN15196_c0_g1,35,47,25,54,36,38,51,14,51,35
TRINITY_DN14460_c0_g1,169,176,168,151,99,209,130,224,138,147
TRINITY_DN19153_c0_g1,258,59,27,160,23,328,170,561,177,208
TRINITY_DN22529_c0_g1,97,142,52,81,19,78,60,17,136,70
TRINITY_DN22558_c1_g14,223,340,297,237,220,293.82,214,261,277.8,92
TRINITY_DN54868_c0_g1,42,55,23,22,18.46,36,41,28,38,23
TRINITY_DN23009_c2_g2,446,663,443,778,508,519,565,310,975,389
TRINITY_DN10421_c0_g2,52,18,22,41,25,81,37,13,25,46
TRINITY_DN14758_c0_g2,131,231,64,138,92,156,173,44.97,173,132.27
TRINITY_DN20341_c0_g1,92,211,46,57,21,91,48,120,103,84
TRINITY_DN22647_c0_g2,57.23,46.82,28,39,33,63.34,58,11.23,42,73
TRINITY_DN22500_c7_g1,283,300,134,188,269,310,237,588,133,231
TRINITY_DN22087_c2_g18,746.49,1644.79,382.53,583.11,307.22,769.55,553.78,84,2402.51,371.5
TRINITY_DN22605_c1_g17,22,26,28,28,13,31,47,32,11,17
TRINITY_DN13552_c0_g1,43,55,57,54,33,58,40,21,50,41
TRINITY_DN15151_c0_g1,52,66,44,64,47,62,73,44,96,41
TRINITY_DN15546_c0_g2,21,28,18,22,18,36.6,20,21,41,13
TRINITY_DN23403_c2_g1,77.8,884.25,352.68,38.82,37.84,160.99,285.62,313.26,783.93,32.1
TRINITY_DN22598_c0_g1,91,143,64,71,41,109,71,154,182,60
TRINITY_DN17252_c0_g1,282,134,185,428,309,300,364,267,245,166
TRINITY_DN20230_c5_g3,35,48,29,21,25,42,36,52,64,24
TRINITY_DN18084_c0_g1,254,202,161,395,212,323,298,164,246,277
TRINITY_DN15090_c0_g1,84,72,73,92,65,69,58,32,84,81
TRINITY_DN10373_c0_g1,86,97,74,82,43,105,184,46,167,92
TRINITY_DN20315_c1_g2,429,203,285,327,245,516,251,203,157,212
TRINITY_DN18790_c0_g1,59,126,79,40,62,76,79,62,37,43
TRINITY_DN23410_c0_g1,114.06,214,95,141,74.01,151,125,27,140,47
TRINITY_DN17541_c0_g1,98,121,67,134,129,82,100,47,101,132
TRINITY_DN21814_c1_g6,36,145,22,27,13,37,32,93,55,19
TRINITY_DN13939_c0_g1,32,30,15,18,14,34,37,16,29,11
TRINITY_DN17975_c0_g2,34,66,49,84,55,57,46,49,111,35
TRINITY_DN23783_c5_g1,1393.31,1690.95,840.29,985.5,769.76,1590.67,1264.88,81,687,1449.93
TRINITY_DN18888_c0_g4,49,39,137,59.7,33,61.01,93,12,44,61
TRINITY_DN19283_c0_g2,76,92,38,71,33,92,83,28,143,114
TRINITY_DN16277_c0_g2,58,69,60,21,37,55,68,105,130,29
TRINITY_DN23312_c5_g19,262.9,351.97,247.78,586.85,323.62,405.8,988.77,6532.58,547.96,338.93
TRINITY_DN22751_c2_g1,22.57,17,9.01,33,20,39,31,24,46,44
TRINITY_DN20744_c0_g1,42,46,30,26,20,36,20,35,36,54
TRINITY_DN12859_c0_g1,96,259,76,90,39,84,60,108,200,84
TRINITY_DN20757_c1_g2,471,761,393,309,510,559,506,295,595,246
TRINITY_DN12895_c0_g1,98,127,62,84,42,107,106,51,113,68
TRINITY_DN18519_c0_g3,5480,5536,6533,6680,4148,5633,4465,1173,8299,2864
TRINITY_DN17108_c0_g2,46,46,35,40,33,68,46,22,57,46
TRINITY_DN9147_c0_g1,36,47,56,45,39,43,67,42,34,28
TRINITY_DN18727_c0_g2,244,260,182,193,112,258,215,394,223,133
TRINITY_DN22923_c1_g12,47.84,55.14,38,46.92,51.63,61.53,31.03,139.93,21.48,25
TRINITY_DN18277_c0_g1,60,74,49,72,47,80,61,18.74,114,68
TRINITY_DN23744_c20_g32,25,32,24,28,29,47,59,39,24,35
TRINITY_DN21343_c0_g1,1305.98,1556,743.89,1800.95,656,1461.89,1366,831,1824,1081
TRINITY_DN21018_c3_g1,1487,1287,832,1710,982,1779,1056.52,120,1405,892
TRINITY_DN23328_c0_g1,124,55,36,36,34,131,27,71,49,33
TRINITY_DN16989_c0_g1,35,70,49,73,48,41,90,106,84,88
TRINITY_DN12592_c0_g2,34,38,18,106,20,39,119,325,66,113
TRINITY_DN10902_c0_g1,96,150,47,63,58.73,126,34,10.85,104.38,40
TRINITY_DN13236_c0_g1,49,48,25,31,10,56,29,11,54,32
TRINITY_DN18369_c0_g1,5545,3390,3787,4211,2555,5007,3692,1132,7889,2607
TRINITY_DN16905_c0_g2,104.78,127,93.45,124.76,73,116.47,151.31,61,135.72,89.36
TRINITY_DN16087_c0_g1,43,77,15,43,19,47,24,77,79,29
TRINITY_DN20345_c0_g2,83,100,106,161,83,113,158,39,126,95
TRINITY_DN22317_c7_g14,418.59,30,634.3,644.5,138.01,513.52,489.13,2702.91,19,274.55
TRINITY_DN18574_c0_g1,69,87,78,108,58,109,119,29,128,80
TRINITY_DN17692_c0_g1,278,283,194,261,143,365,143,318,188,255
TRINITY_DN21021_c0_g1,41,34,42,65,19,50,21,33,38,58
TRINITY_DN19850_c2_g4,104,185,89,95,87,110.82,82,43,191,85
TRINITY_DN15322_c0_g1,63,107,87,99,44,69,91,106,122,87
TRINITY_DN16620_c0_g1,63,67,45,71,38,59,82,83,94,56
TRINITY_DN22026_c0_g1,231,219,234,274,170,275,243,177,126,196
TRINITY_DN15077_c0_g1,60,99,67,97,115,86,135,78,127,37
TRINITY_DN17073_c0_g2,103,71,58,91,56,143,61,16,109,87
TRINITY_DN19452_c1_g2,301,340,224,319,227,332,352,627,390,260
TRINITY_DN14344_c0_g4,265,448,271,194,254,351,339,320,488,182
TRINITY_DN20822_c1_g8,1390,66,1495.99,2216,2327,1536,2351,122,88,1060
TRINITY_DN22592_c1_g5,129,115,91,189,108,141,242,189,109,162
TRINITY_DN23174_c0_g1,103,70,42,98,49,103,46,24,38,88
TRINITY_DN17196_c0_g1,53,92,44,44,46,50,46,33,66,33
TRINITY_DN12757_c0_g1,63,63,32,44,18,76.96,74,35,76,51.92
TRINITY_DN23405_c7_g3,380,513.79,218,481.65,90,379,331,100,648,160
TRINITY_DN20652_c0_g1,5574,4521,5795,5831.98,3963,5833,5764,1204,7733,3994
TRINITY_DN22089_c0_g2,55.63,95,64.51,59,26,81,58,91,35,52
TRINITY_DN22174_c4_g8,154,253,128,148,99,220,280,58,216,145
TRINITY_DN23437_c3_g2,121,108,51,53,36,114,69,44,148,57
TRINITY_DN23489_c0_g1,135,137,101,106,76,174,127,89,120,114
TRINITY_DN23674_c0_g1,2339,2070,1482,1541,1097,3071,1847,1600,2408,1789
TRINITY_DN19178_c0_g1,74,145,45,128,61,82,100,46,122,90
TRINITY_DN7289_c0_g2,127,156,109,162,84,167,183,53,274,138.98
TRINITY_DN18555_c0_g1,386,450,389,441,318,458,303,154,378,450
TRINITY_DN23658_c2_g5,70,43,17,95,16,75,95,337,271,74
TRINITY_DN4700_c0_g1,159.94,232.48,115.08,207.18,189.99,242.88,371.32,562.98,468.13,146.92
TRINITY_DN13589_c0_g1,79,95,56,62,49,71,60,60,65,43
TRINITY_DN22983_c2_g1,112,154,92,163,72,122,196,107,160,103
TRINITY_DN18729_c0_g2,173,305,164,212,91,185,172,63,426,144
TRINITY_DN20703_c2_g16,360,344,220,472,225,412,387,416,449,392
TRINITY_DN12808_c0_g1,169,134,91,104,96,168,126,64,170,81
TRINITY_DN9816_c0_g1,84,70,57,75,50,80,49,86,58,69
TRINITY_DN21414_c0_g1,16,22,12,15,14,31.53,14,9.16,18,14
TRINITY_DN18997_c0_g2,146,124.77,30,60,44,161,55,180,156,81
TRINITY_DN21701_c0_g1,422,684,380,471,394,495,415,266,902,390
TRINITY_DN21326_c5_g1,43,19,18,20,10,40,36,249,61,25
TRINITY_DN22962_c1_g1,108,151,126,135,77,113,141,37,170,110
TRINITY_DN20740_c0_g1,184,259,156,178,136,161,178,123,178,233
TRINITY_DN16422_c0_g2,27,48,26,26,34,41,32,56,33,22
TRINITY_DN21205_c1_g1,196,199,152,165,130,208,137,265,87,118
TRINITY_DN13762_c0_g1,1453,1311,1384,2877,1719,1715,2435,2987,2466,1492
TRINITY_DN15626_c0_g1,35,39,42,45,15,54,75,11,36,12
TRINITY_DN15875_c0_g1,79,97,70,97,64,106,88,96,110,84
TRINITY_DN21901_c2_g1,104,236,106,145,73,95,102,34,471,95
TRINITY_DN20774_c0_g1,523,666,430,480,316,599,398,563,569,325
TRINITY_DN16582_c0_g1,1631,1257,1139,2213,1117,1817,2106,397,1427,1285
TRINITY_DN22605_c1_g18,367,377,486,1017,253,518,905,2508,552,517
TRINITY_DN19088_c0_g1,1701,727,1592,2440,1991,2101,2609,1583,1194,870
TRINITY_DN20447_c0_g2,3608,1969,3651,4822,3652,4064,7092,3197,2503,1874
TRINITY_DN14278_c0_g2,201,210,141,255,154,210,339,219,262,227
TRINITY_DN22245_c0_g4,122,148,91,138,54,146,61,61,313,100
TRINITY_DN13235_c0_g1,108,141,141,197,97,149,242,68,211,103
TRINITY_DN21044_c0_g1,151,291,194,239,214,161,164,122,387,165
TRINITY_DN16418_c1_g1,138,194,121,141,53,150,178,56,323,121
TRINITY_DN22857_c0_g3,89,43,21,48,35,77,70,34,114,38
TRINITY_DN22979_c0_g1,77,103,44,56,36,99,49,200,55,87
TRINITY_DN23204_c3_g6,294,210,152,140,190,410,144,69,267,132
TRINITY_DN17533_c0_g2,83.14,141.09,82,120.53,84.05,113.62,169.51,33,199.92,79.38
TRINITY_DN20852_c0_g3,478,808.52,654.83,704,444,506,575.98,1631,1278.94,299.75
TRINITY_DN22914_c1_g2,93,187,111,101,53,75,123,61,144,72
TRINITY_DN18355_c0_g2,305.81,463.69,318.95,336.88,176.89,371.56,307,145,486.65,448.68
TRINITY_DN23098_c0_g1,137,181,133,144,141,180,119,65.65,105,122
TRINITY_DN16543_c0_g2,32,49,34,37,23,40,72,110,85,35
TRINITY_DN13368_c0_g2,22,25,16,18,22,31,33,28,30,21
TRINITY_DN23430_c0_g4,81.62,75.33,47.85,60,35.67,82.29,39.73,20.64,43,84
TRINITY_DN21513_c0_g1,219,252,130,71,61,233,111,46,117,47
TRINITY_DN23488_c0_g1,116,97,64,46,35,127,81,191,63,55
TRINITY_DN22508_c0_g10,177,231,189,276,194,187,221,310,188,162
TRINITY_DN11964_c0_g1,54,61,78,59,46,52,120,97,66,83
TRINITY_DN21128_c2_g1,23,30,33,55,18,34,33,46,35,34
TRINITY_DN20804_c3_g1,50,39,42,32,24,65,39,30,29,40
TRINITY_DN15619_c0_g1,92,115,81,104,71,110,107,100,127,64
TRINITY_DN9284_c0_g1,46,98,72,147,19,52,126,127,68,20
TRINITY_DN16783_c0_g2,33836.08,21289.03,16338.74,28876.23,10776.92,36913.94,13982.32,7873.83,31884.87,19114.45
TRINITY_DN22038_c0_g1,75,90,54,35,41,93,42,54,50,34
TRINITY_DN19679_c1_g1,72,83,67,87,76,82,47,25,66,48
TRINITY_DN19245_c0_g3,742.48,647.39,262.63,298,190,756.36,270.21,476.06,394,448.29
TRINITY_DN17786_c0_g1,110,138,35,70,26,119,101,30,537.91,68
TRINITY_DN15540_c0_g1,92,83,51,60,50,87,43,109,59,58
TRINITY_DN23643_c2_g6,251.61,171.05,201.5,132.97,151.4,329.65,161.39,144.05,386.99,122.47
TRINITY_DN11374_c0_g1,47,68,29,65,40,64,59,59,96,36
TRINITY_DN23631_c0_g4,195,444,148,385,30,217,135,567,517,100
TRINITY_DN17121_c0_g1,846,473,526,1242,327,998,696,196,814,749
TRINITY_DN22617_c6_g1,30.89,63.15,17.29,13,12,33,10,17,27.67,12.34
TRINITY_DN18753_c0_g1,2503,2988,2011,3251,2264,3178,3604,2379,4171,2070
TRINITY_DN13635_c0_g1,225,191,116,349,231,248,224,42,195,210
TRINITY_DN16121_c0_g1,80,120,69,89,82,77,121,189,88,79
TRINITY_DN23184_c10_g9,45.79,23.27,19,21.22,17.44,28.59,25.65,13,32.06,21.7
TRINITY_DN15738_c0_g1,62,98,52,43,39,68,24,37,49,47
TRINITY_DN20855_c1_g6,136,234,230,219,83,165,97,10,208,124
TRINITY_DN20343_c4_g1,65,101,35,66,27,83,54,10,107,53
TRINITY_DN18657_c0_g1,625,250,300,501,463,821,768,398,346,352
TRINITY_DN20688_c2_g1,104,136,73,71,53,98,95,78,299,76
TRINITY_DN23737_c11_g3,170,168,88,148,59,206,142,60,216,205
TRINITY_DN18124_c0_g1,79,113,74,91,61,81,67,17,96,72
TRINITY_DN10377_c0_g1,117,144,118,168,86,133,131,26,135,164
TRINITY_DN16098_c0_g1,91,103,80,66,44,115,45,26,108,98
TRINITY_DN15692_c0_g1,118,170,104,94,44,137,63,52,106,93
TRINITY_DN18256_c0_g2,49,49,45,55,24,50,34,27,46,52
TRINITY_DN21320_c0_g2,89,119,74,131,82,128,106,37,82,90
TRINITY_DN23777_c14_g1,236,431,317,403,183,318,324,225,550,313
TRINITY_DN17758_c0_g2,367,273,240,451,139,450,223,156,349,397
TRINITY_DN19203_c0_g2,80,64,27,56,21,81,41,86,63,33
TRINITY_DN19390_c0_g1,51,69,57,50,41,53,34,24,39,48
TRINITY_DN23369_c1_g11,115.4,97,62,48,35,120,132.07,34,59.04,16
TRINITY_DN22072_c3_g1,224,297,192,257,237,319,603,1734,348,162
TRINITY_DN22794_c4_g22,229,281,180,198,142,233,122,234,176,239
TRINITY_DN18817_c0_g1,83,95,37,75,18,94,53,11,101,67
TRINITY_DN15599_c0_g1,42,34,30,50,29,40,47,81,37,74
TRINITY_DN19815_c0_g3,92,109,56,56,55,101,44,32,98,92
TRINITY_DN22845_c0_g1,149,65,43,183,135,141,200,266,139,123
TRINITY_DN17635_c0_g1,150,155,120,152,160,172,207,145,152,163
TRINITY_DN22278_c0_g4,56,62,50,69,26,61,44,25,40,56
TRINITY_DN21653_c0_g5,198,95,114,90,70,192,123,42,222,73
TRINITY_DN432_c0_g1,36,17,19,12,12,53,15,32,44,15
TRINITY_DN20299_c4_g1,24,25,19,35,18,23,26,148,53,24
TRINITY_DN21383_c2_g1,148.31,42,77,173,72,141.71,37,146,30,107
TRINITY_DN18478_c0_g1,35,25,20,30,15,40,18,36,22,12
TRINITY_DN23342_c0_g2,1710,1490,1202,2465,1367,2081,2133,2008,1836,1634
TRINITY_DN13659_c0_g2,41,41,47,39,22.01,64.03,22,24,90,48.01
TRINITY_DN17001_c1_g2,139,158,113,121,112,135,149,97,181,114
TRINITY_DN18872_c0_g1,26,19,11,22,11,52,60,535,36,29
TRINITY_DN23602_c1_g17,1668,2188.98,960.98,1453,1016,1797,1042,450,1827,709
TRINITY_DN18547_c0_g1,68,75,43,70,62,75,86,99,89,41
TRINITY_DN19301_c0_g1,77,246,53,60,119,103,64,54,105,62
TRINITY_DN19282_c1_g1,51,63,52,43,26,60,22,10,43,52
TRINITY_DN15841_c0_g1,194,252,267,299,219,259,468,1033,442.98,210
TRINITY_DN16064_c0_g3,58,66,39,51,43,74,44,19,66,47
TRINITY_DN20324_c1_g5,344,621,334,337,212,378,259,709,505,211
TRINITY_DN20968_c8_g2,140,156,107,196,74,130,97,80,150,144
TRINITY_DN19040_c1_g1,49,83,30,41,13,59,31,25,49,52
TRINITY_DN11254_c0_g2,126.67,146.67,86.87,156.92,74,150.92,88.8,48.45,122,107.88
TRINITY_DN20376_c3_g1,633.89,379,284,315,270,729.9,209,142,317,180
TRINITY_DN23389_c0_g2,89,109,120,122,79,111,144,175,164,144
TRINITY_DN23569_c5_g4,324,461,247,350,234,428,315,117,237,176
TRINITY_DN22820_c1_g2,113.37,250.08,97.65,62.17,70.99,145.96,218.09,51,148.74,68.45
TRINITY_DN20397_c0_g1,80,71,47,57,32,99,80,58,64,75
TRINITY_DN13606_c1_g2,114.83,148.77,98.57,114.85,77.63,98.61,94.6,39.3,180.61,67.25
TRINITY_DN21153_c0_g1,95,106,145,157,61,130,219,500,155,94
TRINITY_DN14939_c0_g1,27,21,25,23,10,33,37,300,27,29
TRINITY_DN2869_c0_g1,90,201,135,160,70,111,119,94,220,118
TRINITY_DN15264_c0_g1,48,51,37,79,53,64,86,31,58,101
TRINITY_DN22657_c0_g7,50,57,50,67,36,52,60,41,43,38
TRINITY_DN21568_c3_g1,10829.9,10590,962,2204,893,11396.04,846,360,2088,1524
TRINITY_DN22710_c0_g2,85,66,39,30,21,83,12,112,48,43
TRINITY_DN23222_c3_g4,136,200,58,153,59,164,65,26,180.82,83
TRINITY_DN23347_c1_g1,298,297,170,419,367,377,500,213,379,189
TRINITY_DN21433_c6_g2,183,134,127,142,97,191,141,22,95,136
TRINITY_DN17002_c0_g1,31,43,29,24,11,23,19,11,44,35
TRINITY_DN10371_c0_g1,510,372,481,623,542,585,1071,2885,791,294
TRINITY_DN21640_c1_g2,86,108,100,88,50,118,41,55,88,105
TRINITY_DN23008_c0_g1,22,23,24,25,15,23,17,16,31,14
TRINITY_DN22122_c4_g1,51,291,101,87,123,79,38,50,254,173
TRINITY_DN23644_c3_g15,356.89,434.7,204.39,201.75,179.41,499.03,860.24,347.67,1114.99,244.26
TRINITY_DN20834_c9_g3,54,52,35,37,21,87,52,141,102,38
TRINITY_DN16579_c0_g1,22,59,20,33,15,34,43,38,56,31
TRINITY_DN22838_c6_g1,328,282,280,310,299,386,538,799,205,295
TRINITY_DN20903_c7_g4,675.4,847.04,320.09,587.57,493.74,799.26,429.8,31,187.94,653.97
TRINITY_DN22893_c0_g3,1176.98,1489,612,1569.95,652,1437.8,1256,323,2613.99,1091
TRINITY_DN23206_c5_g1,72,101,59,78,58,67.06,84,61,79,79
TRINITY_DN23113_c0_g1,146,171,133,91,46,193,176,921,170,140
TRINITY_DN14591_c0_g2,40,54,36,46,22,35,45,27,70,31
TRINITY_DN22784_c3_g20,87,71,32,25,22,105,313,400,104,25
TRINITY_DN13419_c0_g2,595,545,757,918,827,891,1548,4799,972,573
TRINITY_DN22868_c7_g18,508.98,716.7,229,278,123,620.88,543,191.82,1250.51,426.06
TRINITY_DN12227_c0_g1,404,498,428,543,457,484,367,172,565,366
TRINITY_DN17895_c0_g2,5995,13321,5636,5118,5182,7088,8732,1917,8915,5040
TRINITY_DN13440_c0_g2,82.82,22,38,29,18,97.86,30.88,331,108.51,26
TRINITY_DN21413_c0_g1,133,229,90,55,40,130,43,25,130,86
TRINITY_DN21107_c1_g18,153,208.14,92,72,48,140,154.87,259.22,233,80
TRINITY_DN15914_c0_g1,51,54,50,50,31,91,36,37,78,53
TRINITY_DN8022_c0_g1,95,158,117,41,35,112,100,266,185,26
TRINITY_DN17666_c0_g2,8651.28,16313.6,6288.01,4845.41,5440.2,9818.32,3905,1386,11134.69,3748.15
TRINITY_DN20962_c0_g1,31,32,23,21,14,28,33,44,27,14
TRINITY_DN20703_c2_g14,6062,4403,5264,5889,3309,6773,4891,2085,8765,3115
TRINITY_DN13595_c0_g1,42,27,34,53,16,39,20,23,56,33
TRINITY_DN21248_c0_g1,29,28,15,48,18,30,20,22,40,20
TRINITY_DN7133_c0_g1,54,74,38,53,27,66,37,12,87,34
TRINITY_DN19659_c0_g1,114,248,87,152,65,120,150,116,86,104
TRINITY_DN23056_c2_g1,50,74,48,52,24,71,50,256,68,82
TRINITY_DN8197_c0_g1,48.35,64.13,27.87,33.24,36.49,49.53,51.5,66.63,55.47,23.56
TRINITY_DN18986_c0_g4,284,462,389,240,279,385,467,380,790,340
TRINITY_DN13682_c0_g1,55,63,92,81,36,69,56,128,72,83
TRINITY_DN20738_c6_g1,355,217,99,132,94,389,132,143,200,251
TRINITY_DN21028_c1_g12,114.29,219.02,162.64,228.88,232.61,150.86,348.59,64.71,175.17,101.55
TRINITY_DN17057_c0_g1,44,42,22,25,22,41,14,14,28,23
TRINITY_DN22577_c1_g1,817,281,165,322,288.91,994.97,579,693,1181,777
TRINITY_DN23516_c3_g11,237.93,239,154.25,137.76,158.96,307.82,163.05,32,26.96,176.1
TRINITY_DN12753_c0_g1,71,83,22,39,16,66,38,55,137,47
TRINITY_DN18460_c0_g1,45,60,38,38,30,40,38,21,60,29
TRINITY_DN23363_c2_g2,481.54,454.06,304.54,459.51,61.16,511.95,341.69,221,451.71,240.82
TRINITY_DN22118_c1_g1,116,148,98,101,86,136,101,32,226,63
TRINITY_DN22924_c0_g11,61,36,11,28,20,64,11,23,20,28
TRINITY_DN19858_c0_g1,48,70,43,38,21,63,33,129,46,46
TRINITY_DN18000_c0_g3,82,85,38,69,41,104,84.81,99,108,51
